1,406,929,2912,1
2,406,929,803,1
3,406,929,2882,1
4,406,929,925,1
5,406,929,4641,1
6,406,929,5287,1
7,282,749,5337,1
8,282,749,2198,1
9,282,749,3433,1
10,282,749,2079,1
11,536,677,5641,1
12,178,476,2672,1
13,178,476,2220,1
14,178,476,102,1
15,178,476,1938,1
16,178,476,1643,1
17,178,476,4269,1
18,509,6,1454,1
19,509,6,576,1
20,509,6,4331,1
21,509,6,1493,1
22,509,6,3642,1
23,942,437,1947,1
24,942,437,5258,1
25,942,437,1705,1
26,942,437,1039,1
27,909,170,1810,1
28,909,170,753,1
29,909,170,553,1
30,317,913,4940,1
31,317,913,4415,1
32,317,913,3721,1
33,317,913,5940,1
34,317,913,5217,1
35,317,913,1289,1
36,317,913,5942,1
37,317,913,3731,1
38,713,308,617,1
39,713,308,3157,1
40,713,308,1182,1
41,413,568,2808,1
42,413,568,5918,1
43,413,568,2315,1
44,413,568,5603,1
45,44,926,3337,1
46,44,926,3644,1
47,44,926,4079,1
48,622,912,4991,1
49,622,912,3945,1
50,332,928,3937,1
51,332,928,2528,1
52,105,724,2784,1
53,105,724,1443,1
54,248,911,3719,1
55,248,911,2560,1
56,248,911,4518,1
57,248,911,953,1
58,248,911,5976,1
59,248,911,1174,1
60,248,911,777,1
61,248,911,4764,1
62,434,546,4180,1
63,434,546,1927,1
64,434,546,3035,1
65,434,546,4510,1
66,434,546,57,1
67,434,546,3218,1
68,597,640,2845,1
69,597,640,3409,1
70,597,640,2312,1
71,597,640,2124,1
72,399,707,2097,1
73,399,707,4177,1
74,399,707,5593,1
75,399,707,1142,1
76,481,428,3234,1
77,481,428,97,1
78,689,987,400,1
79,689,987,3785,1
80,689,987,3891,1
81,689,987,4607,1
82,689,987,553,1
83,689,987,2604,1
84,689,987,1199,1
85,965,953,1004,1
86,965,953,2634,1
87,965,953,3809,1
88,965,953,4492,1
89,152,692,316,1
90,152,692,3701,1
91,152,692,5682,1
92,152,692,2223,1
93,152,692,566,1
94,667,858,5357,1
95,667,858,5433,1
96,667,858,3252,1
97,667,858,43,1
98,667,858,4106,1
99,335,643,4647,1
100,335,643,4663,1
101,335,643,1378,1
102,335,643,2267,1
103,335,643,2912,1
104,335,643,2016,1
